Software,cluster_id_v1,cluster_label_v1,is_noise_like_v1,clustering_method_v1,normalized_name_v2,cluster_id_v2,cluster_label_v2,cluster_size_v2,is_noise_like_v2,clustering_method_v2,cluster_confidence_v2,review_recommended_v2,normalized_name_v3,cluster_id_v3,cluster_label_v3,cluster_size_v3,is_noise_like_v3,clustering_method_v3,cluster_confidence_v3,review_recommended_v3
.NET Reflector Desktop,N0001,.NET Reflector Desktop,true,singleton_noise_like,.net reflector desktop,C0233,.NET Reflector,2,false,family_pattern,0.85,true,.net reflector desktop,C0233,.NET Reflector,2,false,v2_preserved,0.85,true
.NET Reflector Visual Studio Extension,N0002,.NET Reflector Visual Studio Extension,true,singleton_noise_like,.net reflector visual studio extension,C0233,.NET Reflector,2,false,family_pattern,0.85,true,.net reflector visual studio extension,C0233,.NET Reflector,2,false,v2_preserved,0.85,true
1Password,N0003,1password,true,singleton_noise_like,1password,N0001,1Password,1,true,singleton_noise_like,0.00,true,1password,N0001,1Password,1,true,singleton_noise_like,0.00,true
7-Zip,C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 15.14 (x64 edition),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 18.05 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 18.06 (x64 edition),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 19.00 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 20.02 alpha,C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 21.00 alpha (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 21.02 alpha (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 21.03 beta (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 21.04 beta (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 21.05 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 21.06 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 21.07 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
